,"Symbol","Name","Exchange","Sector","industry","dividendRate","exDividendDate","lastSplitDate","lastSplitFactor","Buy","Sell","Hold","Previous_Earnings_Date","Expected","Actual","Surprise","Future Earnings Date","daysSinceLastDividend","BBP","Exponential Moving Average","day1","day2","day3","day4"
109,"LPG","Dorian LPG Ltd.","NYSE","Transportation","Marine Transportation",,0,0,0,0,0,1,"2020-05-26",0.63,0.81,28.98,,0,-0.641606832482334,0.587261741034198,,,,
110,"PLT","Plantronics, Inc.","NYSE","Public Utilities","Telecommunications Equipment",,1582070400,0,0,0,1,0,"2020-05-26",0.09,0.3,233.33,,97,0.106794545364428,0.514554215469064,,,,
111,"RL","Ralph Lauren Corporation","NYSE","Consumer Non-Durables","Apparel",,1585180800,0,0,2,0,6,"2020-05-26",-0.4,-0.68,-69.15,"2020-11-05",61,-0.079092182752155,0.656183471588878,,,,
112,"RY","Royal Bank Of Canada","NYSE","Finance","Commercial Banks",3.28,1603411200,0,0,1,0,1,"2020-05-26",1.59,1.03,-35.26,,-150,0.512263612501414,0.754453511515915,,,,
113,"STG","Sunlands Technology Group","NYSE","Consumer Services","Other Consumer Services",,0,0,0,0,0,0,"2020-05-26","-","-","-",,0,-0.551949103233599,0.758870968827347,,,,
114,"UVV","Universal Corporation","NYSE","Consumer Services","Farming/Seeds/Milling",3.08,1602201600,0,0,0,0,0,"2020-05-26","-",1.08,"-","2020-11-12",-136,-0.618015110820339,0.870555086750458,,,,
115,"ARCE","Arco Platform Limited","Nasdaq","Consumer Services","Other Consumer Services",,0,0,0,0,0,2,"2020-05-26",0.99,0.07,-92.89,,0,0.076466053985168,1.16474754074624,,,,
116,"CHEK","Check-Cap Ltd.","Nasdaq","Health Care","Medical Electronics",,0,0,0,1,0,0,"2020-05-26",-0.36,-0.34,5.56,,0,1.14717256937974,0.377533747601292,,,,
117,"COHR","Coherent, Inc.","Nasdaq","Capital Goods","Biotechnology: Laboratory Analytical Instruments",,1355702400,0,0,1,0,1,"2020-05-26",0.52,0.61,17.53,,2717,0.673418666841568,0.838497600811333,,,,
118,"CMCO","Columbus McKinnon Corporation","Nasdaq","Capital Goods","Construction/Ag Equipment/Trucks",0.24,1596672000,0,0,0,0,0,"2020-05-26",0.47,0.58,24.73,,-72,0.193291577157856,0.624916478156929,,,,
119,"ESEA","Euroseas Ltd.","Nasdaq","Transportation","Marine Transportation",,1377648000,0,0,0,0,0,"2020-05-26",-0.36,0.32,187.67,"2020-11-23",2463,-0.15062499066306,0.598003482360057,,,,
